,Word1,Word2,Similarity Score,Ground Truth,Label
0,,,,,
0,मोहब्बत,सेक्स,4.291839910547038,6.8,1
0,बाघ,बिल्ली,5.275036700229178,7.0,1
0,किताब,कागज़,7.1694123287463665,7.6,1
0,कंप्यूटर,कीबोर्ड,5.699658619362342,7.6,1
0,कंप्यूटर,इंटरनेट,7.63485463494169,8.0,1
0,विमान,कार,6.73317013023375,6.0,1
0,रेलगाड़ी,कार,4.772512104288703,6.2,1
0,टेलीफोन,संचार,5.8364832854604645,7.6,1
0,टेलीविजन,रेडियो,7.731318932210875,6.4,1
0,मीडिया,रेडियो,5.427391808104148,5.8,1
0,ब्रेड,मक्खन,5.909055539402873,6.6,1
0,खीरा,आलू,6.389514307444852,5.8,1
0,चिकित्सक,नर्स,7.05362392219123,7.6,1
0,प्रोफ़ेसर,चिकित्सक,3.452008601125388,4.6,1
0,छात्र,प्रोफ़ेसर,4.5600910600026525,7.0,1
0,होशियार,छात्र,4.46793720331741,5.2,1
0,होशियार,बेवकूफ,4.96004724157015,6.2,1
0,किताब,पुस्तकालय,5.365023477733471,7.6,1
0,बैंक,पैसे,6.851339042573516,8.0,1
0,लकड़ी,जंगल,5.974411972976127,7.0,1
0,प्रोफ़ेसर,खीरा,0.4225581329155545,0.0,1
0,राजा,रानी,6.736145853093345,8.2,1
0,बिशप,रबी,2.0315176706086815,7.0,1
0,यरूशलेम,इजराइल,4.409945461497476,7.8,1
0,पवित्र,सेक्स,3.4061393704522476,1.0,1
0,माराडोना,फ़ुटबॉल,3.9541923162579136,7.8,1
0,फ़ुटबॉल,सॉकर,6.906362765126691,9.0,1
0,फ़ुटबॉल,बास्केटबाल,4.228059101067938,6.4,1
0,फ़ुटबॉल,टेनिस,5.257368228791162,5.8,1
0,टेनिस,रैकेट,3.643211640550893,7.4,1
0,कानून,वकील,5.402098245152623,7.8,1
0,चलचित्र,पॉपकॉर्न,3.6813535114670266,6.6,1
0,चलचित्र,आलोचक,1.1785009718102721,6.6,1
0,चलचित्र,थिएटर,3.8523039413646085,8.4,1
0,पीना,कार,3.9188566207183504,1.4,1
0,पीना,कान,4.5467713866335195,0.4,1
0,पीना,मुंह,6.540595897723406,7.0,1
0,बच्चा,मां,6.957588579306348,7.2,1
0,पीना,मां,3.265875991394864,1.8,1
0,मणि,गहना,1.7852336958154837,6.8,1
0,भट्ठी,स्टोव,6.107585531702611,8.4,1
0,भोजन,फल,6.216635758967351,6.6,1
0,पक्षी,सारस,6.576317192545429,7.4,1
0,भाई,साधु,2.9318517091875744,1.4,1
0,यात्रा,कार,5.7443707176509555,6.2,1
0,साधु,गुलाम,1.5185615198991098,0.2,1
0,कांच,जादूगर,1.3694818746065731,2.0,1
0,पैसे,मुद्रा,6.344670863472304,8.6,1
0,पैसे,धन,6.753138800810263,9.2,1
0,पैसे,संपत्ति,7.178985894741325,8.4,1
0,पैसे,बैंक,6.851339042573516,8.2,1
0,पैसे,जमा,6.952435300661928,6.6,1
0,पैसे,ऑपरेशन,5.06807144754363,2.6,1
0,बाघ,जैगुआर,3.2745117645857826,8.0,1
0,बाघ,जानवर,7.248548431534843,7.6,1
0,बाघ,चिड़ियाघर,5.979417813777771,6.8,1
0,मनोविज्ञान,चिंता,3.8081344672865907,6.2,1
0,मनोविज्ञान,डर,2.9103182634393283,5.2,1
0,मनोविज्ञान,डिप्रेशन,2.4212978247186676,7.0,1
0,मनोविज्ञान,क्लिनिक,2.556800662100348,6.4,1
0,मनोविज्ञान,चिकित्सक,3.0108298803250158,7.0,1
0,मनोविज्ञान,मन,5.779341114730511,7.4,1
0,मनोविज्ञान,स्वास्थ्य,4.974924860578195,6.2,1
0,मनोविज्ञान,विज्ञान,7.158010869597859,7.0,1
0,मनोविज्ञान,अनुशासन,4.481627678751617,4.2,1
0,accuracy,,,,0.5384615384615384
